;id;created_at;text
1035;991324177620758530;2018-05-01 14:31:16;"b'$PRQR\'s Mass index signals ""bulge reversals"" that would ideally suggest #bullish trend reversal. https://t.co/sf04vXXcpD'"
1036;991323875630833664;2018-05-01 14:30:04;"b""According to the $TGLS's Mass index technical indicator, the company shows #bullish reversal signals. https://t.co/a5SKmgDg9D"""
1037;991308888417951745;2018-05-01 13:30:31;b'Analysts\xe2\x80\x99 target price for $ATKR hasn\xe2\x80\x99t reached the minimum yet, so the indicator supports #bullish signals with 93\xe2\x80\xa6 https://t.co/npvityAwsw'
1045;990991063933509638;2018-04-30 16:27:36;b'$BXG shows #bullish signals, according to the KST technical indicator. https://t.co/XdWE2tmG79'
1051;990950906429689856;2018-04-30 13:48:01;b'The Broadcasting industry is the second worst industry. $WOW is an example of this: it gives bearish signals that a\xe2\x80\xa6 https://t.co/42s3pnmuM2'
1072;989922642672091142;2018-04-27 17:42:04;"b""StockMetrix indicator for $FSLR's Analysts rating is giving off Strong Buy signals, according to the analysts' pred\xe2\x80\xa6 https://t.co/UjQFabfH29"""
1074;989901557482258433;2018-04-27 16:18:17;"b""The current indicator mix supports $ABC's bullish signals. Check out the strategy screenshot down below. https://t.co/Wy6MFDOo9z"""
1075;989886831197130752;2018-04-27 15:19:46;"b""#TECK's short interest signals bullish with 86% accuracy. https://t.co/cIjhpi3cZk"""
1076;989878252515876864;2018-04-27 14:45:41;"b""3 out of 4 $MS's Intrinsic Value models support bullish signals. https://t.co/krixngZAtn"""
1089;989509203965435909;2018-04-26 14:19:13;"b""$IPCI's technical RSI indicator signals green which is a sign that the company is #oversold https://t.co/cbwhnZ550x"""
1106;989148865025757189;2018-04-25 14:27:21;"b""$WINA's news sentiments support #bullish signals. https://t.co/AlD54XdhcB"""
1121;988807017614757895;2018-04-24 15:48:58;"b""$SIRI's current price is close to the projected maximum of the median Price to Sales $6.67 value, it signals bearis\xe2\x80\xa6 https://t.co/3tQ4uieSXn"""
1130;988460298280587264;2018-04-23 16:51:14;b'$VST options market signals bullish. The amount of calls prevails and implied volatility exceeds the historical one\xe2\x80\xa6 https://t.co/ISkeAzZUP7'
1158;987752410973196289;2018-04-21 17:58:20;b'$MCD Macroeconomic indicators support bullish signals. Medium-term investors would earn 21% of GAIN if they only fo\xe2\x80\xa6 https://t.co/5msk7Fk05h'
1194;986999444301283329;2018-04-19 16:06:19;"b""87% gain $ETSY investors would have earned if followed StockMetrix industry indicator's signals. https://t.co/Ww7kSPfugK"""
